N° de la FEB,fr,ar,bg,chi,cs,da,de,el,en,es,es_XL,et,fa_IR,fi,he,hi,hr,hu,id,it,ja,ko,lt,lv,nl_NL,no,pl,pt_BR,pt_PT,ro,ru,sk,sl,sq,sr,sv,tr,uk,vi
10115_3,"Temps de
conduite dépassé","تجاوزت
وقت القيادة","Надвишено
време за каране","超过
驾驶时间","Překročená
doba řízení","Overskredet
køretid","Fahrzeit
überschritten","Υπερβήκατε το
χρόνο οδήγησης","Exceeded
driving time","Tiempo de conduc
excedido","Tiempo de manejo
excedido","Sõiduaeg
ületatud","بیش از حد
مدت زمان رانندگی","Ajoaika
ylitetty","זמן נהיגה
זמן נהיגה","ड्राइविंग समय से
अधिक","Prekoračeno
vrijeme vožnje","Vezetési idő
túllépve","waktu kemudi
lebih","Superamento
tempo di guida","運転時間
超過","운전 제한 시간
초과됨","Viršytas
vairavimo laikas","Pārsniegts
braukšanas laiks","Rijtijd
overschreden","Kjøretid
overskredet","Czas jazdy
przekroczony","Tempo de
Direção excedido","Tempo de
condução esgotad","Timp de condus
depășit","Превышено
время в пути","Prekročený
čas jazdy","Čas vožnje
Prekoračen","Është tejkaluar
koha e vozitjes","Vreme vožnje
prekoračeno","Din körtid
Överskrids","Sürüş zamanı
aşıldı","Час водіння
перевищено","Đã quá
thời gian lái xe"
10202_1,"Niveau carburant
faible","مستوى انخفاض
الوقود","Ниско ниво
на горивото","燃油油位
低","Malé množství
paliva","Lavt brændstof
niveau","Wenig Tank-
inhalt","Χαμηλή στάθμη
καυσίμου","Low fuel
level","Nivel combus.
bajo","Nivel bajo
de combustible","Madal
kütusetase","سطح سوخت
پایین","Matala
polttoainetaso","מפלס דלק
נמוך","कम ईंधन
स्तर","Niska razina
goriva","Alacsony üa.
szint","Tngkt
Bah.Bak.","Livello carburante
basso","燃料残量
少",연료 부족함,"Žemas kuro
lygis","Zems degvielas
līmenis","Laag
brandstofniveau","Lavt drivstoff
nivå","Niski poziom
paliwa","Nível comb.
baixo","Nível combust.
baixo","Nivel carburant
scăzut","Низ.уров.
топ.","Malá úroveň
paliva","Nizek nivo
goriva","Niveli i ulët
i karburantit","Ниво горива
низак!","Bränslenivå
Låg","Düşük ykt
sev.","Низ. рів.
пального","Cạn nhiên liệu
mức độ"
10202_3,"Niveau batterie
faible","بطارية منخفض
مستوى","Ниско ниво
на батерията","电池电量
电量","Nízké nabití
akumulátoru","Lavt batteri
niveau","Batteriestand
niedrig","Χαμηλή στάθμη
μπαταρίας","Low battery
level","Nivel de batería
bajo","Nivel de batería
bajo","Madal aku
tase","شارژ باتری
پایین","Alhainen akun
varaustaso","רמת טעינה סוללה
רמה","कम बैटरी
स्तर","Niska razina
baterije","Alacsony akku-
szint","Tingkat baterai
tingkat","Batteria scarica
.","バッテリ残量
減少","낮은 배터리
수준","Žemas akumuliator.
lygis","Zems ak. uzlādes
līmenis","Laag batterij
niveau","Lavt batterinivå
nivå","Niski poziom
naładowania aku.","Bateria baixa
nível","Nível da bateria
baixo","Nivel scăzut
baterie","Низкий уровень
заряда АКБ","Nízka úroveň
akumulátora","Nizka raven
baterije","Niveli i ulët
bateria","Nizak nivo
baterije","Låg batteri-
nivå","Düşük akü
seviyesi","Низький рівень
заряду батареї","Mức pin
thấp"
10202_5,"Niveau batterie
très faible","منخفض للغاية
مستوى البطارية","Много ниско
ниво на батерията","过低
电池电量","Velmi nízká
úroveň nabití akumulátoru","Meget lavt
batteriniveau","Sehr niedriger
Batteriestand","Πολύ χαμηλή
στάθμη μπαταρίας","Very low
battery level","Nivel de batería
muy bajo","Nivel de batería
muy bajo","Väga madal
aku tase","خیلی کم
میزان شارژ باتری","Erittäin alhainen
akun varaustaso","נמוכה מאוד
רמת טעינת סוללה","बहुत कम
बैटरी का स्तर","Vrlo niska
razina baterije","Nagyon alacsony
akkumulátorszint","Tingkat baterai
sangat rendah","Livello batteria
insufficiente","バッテリ残量が
極少","매우 낮은
배터리","Labai žemas
akumuliatoriaus lygis","Ļoti zems
akumulatora uzlādes līmenis","Zeer laag
batterij niveau","Svært lavt
batterinivå","Bardzo niski poziom
naładowania akumulatora","Bem baixo
nível de bateria","Nível da bateria
muito baixo","Nivel foarte
scăzut baterie","Очень низкий
уровень заряда АКБ","Veľmi nízka
úroveň nabitia akumulátora","Zelo nizka
raven baterije","Niveli i baterisë
shumë i ulët","Veoma nizak
nivo baterije","Mycket låg
batterinivå","Çok düşük
akü seviyesi","Дуже низький
рівень заряду батареї","Rất thấp
mức pin"
10203_1,"Pas de message
mémorisé","لا توجد رسائل
محفوظة","Няма запомнени
съобщения","无存储
信息",Žádná zpráva,"Ingen meddelelse
i hukommelse","Keine Meldung
gespeichert","Κανένα αποθηκευ-
μένο μήνυμα","Vehicle Systems
OK","No hay mensaje
memorizado","No se memorizó
mensaje","Mälus ei
ole teateid","هیچ پیامی
ذخیره نشد","Ei viestejä
muistissa","אין הודעה
בזיכרון","कोइ संदेश
मेमोराइज़ नही किया गया","Nema poruke
u memoriji","További
jó utat!","Sistem Kendaraan
OK","Nessun messaggio
memorizzato","メッセージが記録
されていません","시스템 점검결과
정상입니다","Pranešimo
neįrašyta","Nav saglabātu
ziņojumu","Geen bericht
in geheugen","Ingen meldinger
Lagret","Brak komunikatu
w pamięci","Sem mensagem
na memória","Não há mensagens
em memória","Niciun mesaj
memorat",Сообщений нет,Žiadna správa,"Ni shranjenih
sporočil","Sist. e mjetit
OK","Nema memorisanih
poruka","Inget meddelande
lagrat","Hafızada
mesaj yok","Немає повідомл.
у пам'яті","Hệ thống Phương
tiện OK"
10203_12,Autonomie,المدى,Автономност,续航里程,Dojezd,Rækkevidde,Reichweite,Αυτονομία,Range,Autonomía,Autonomía restante,Vahemik,محدوده,Toimintasäde,טווח,श्रेणी,Doseg,Hatótáv,Jangkauan,Autonomia,航続距離,주행가능거리,Diapazonas,Diapazons,Actieradius,Rekkevidde,Zasięg,Autonomia,Autonomia,Autonomie,Запас хода,Dojazd,Doseg,Autonomia,Autonomija,Räckvidd,Kalan yakıt,Діапазон,Phạm vi
10203_13,Instantanée,لوحة المراقبة,Моментен,瞬时消耗,Okamžitá,AKTUELT FORBR.,Momentanverbr.,ΣΤΙΓΜΙΑΙΑ ΚΑΤΑΝ.,INSTANT CONSO,Instantáneo,CONSUMO INSTANTÁNEO,KOHENE TARVE,مصرف فوری,Hetkellinen,צריכה מיידית,तुरंत खपत,Trenutno,Pillanatnyi,INSTANT CONSO,Istantaneo,瞬間燃費,순간연비,SUVARTOJIMAS,PATĒRIŅŠ PAŠLAIK,Actueel verbruik,Momentant forbr.,Aktualne zużycie,CONSUMO INSTANT.,Consumo instant.,CONSUM INSTANT,Расход текущий,Okamžitá,Trenutna poraba,Momentale,Trenut.potrošnja,Nuvarande förbr,Anlık,МИТТЄВА КОНС.,INSTANT CONSO
10203_14,Moyenne,المتوسط,Среден разход,平均油耗,Průměrná,Gns.,Durchschnitt,Μέση,Average,Media,Promedio,Keskmine,متوسط,Keskikulutus,ממוצע,औसत,Prosjek,Átlag,Rata-rata,Consumo medio,平均,평균연비,Vidutinis,Vidējais,Gemiddeld,Gjennomsnitt,Średnie zużycie,Média,Consumo médio,Mediu,Средний расход,Priemerná,Povprečna,Mesatare,Prosek potrošnja,Genomsnittlig,Ortalama,Середнє,Trung bình
10203_2,"Autonomie
{#6}","المدى
{#6}","Автономност
{#6}","续航里程
{#6}","Dojezd
{#6}","Rækkevidde
{#6}","Reichweite
{#6}","Αυτονομία
{#6}","Range
{#6}","Autonomía
{#6}","Autonomía restante
{#6}","Vahemik
{#6}","محدوده
{#6}","Toimintasäde
{#6}","טווח
{#6}","श्रेणी
{#6}","Doseg
{#6}","Hatótáv
{#6}",{#6},"Autonomia
{#6}","航続距離
{#6}","주행가능거리
{#6}","Diapazonas
{#6}","Diapazons
{#6}","Actieradius
{#6}","Rekkevidde
{#6}","Zasięg
{#6}","Autonomia
{#6}","Autonomia
{#6}","Autonomie
{#6}","Запас хода
{#6}","Dojazd
{#6}","Doseg
{#6}","Autonomia
{#6}","Autonomija
{#6}","Räckvidd
{#6}","Kalan yakıt
{#6}","Діапазон
{#6}",{#6}
10203_27,Ampèremètre,أميتر,амперметър,电流表,Ampérmetr,Ampere,Amperemeter,Αμπερόμετρο,Ammeter,Amperímetro,Amperímetro,Ampermeeter,آمپرسنج,Sähkövirta,מד זרם,एम्मीटर,Ampermetar,Ampermérő,Ampere,Amperometro,電流計,전류,Ampermetras,Ampērmetrs,Ampèremeter,Ampermeter,Amperomierz,Amperímetro,Amperímetro,Ampermetru,Амперметр,Ampérmeter,Ampermeter,Ampermetri,Ampermetar,Amperemeter,Ampermetre,Амперметр,am-pe kế
10203_28,Voltmètre,فولتميتر,волтметър,电压表,Voltmetr,Voltmeter,Voltmeter,Βολτόμετρο,Voltmeter,Voltímetro,Voltímetro,Voltmeeter,ولت سنج,Jännite,מד מתח,वोल्टमीटर,Voltmetar,Voltmérő,Voltase,Voltmetro,電圧計,전압,Voltmetras,Voltmetrs,Voltmeter,Voltmeter,Woltomierz,Voltímetro,Voltímetro,Voltmetru,Вольтметр,Voltmeter,Voltmeter,Voltmetër,Voltmetar,Voltmeter,Voltmetre,Вольтметр,Vôn kế
10203_29,Moteur EV,محرك السيارة,ЕV мотор,EV 电机,EV motor,EV motor,Motor EV,Κινητήρας EV,EV motor,Motor EV,Motor EV,EV mootor,موتور EV,EV moottori,EV מנוע,EV इंजन,EV motor,EV motor,EV motor,Motore EV,EVモーター,EV 엔진,EV variklis,EV motors,EV motor,EV motor,EV silnik,Motor EV,Motor EV,Motor EV,двигатель ЕV,EV motor,Motor EV,Motori EV,Motor EV,EV motor,EV motor,ЕV двигун,EV motor
10203_30,Moyenne,المتوسط,Среден разход,平均油耗,Průměrná,Gns.,Durchschnitt,Μέση,Average,Media,Promedio,Keskmine,متوسط,Keskikulutus,ממוצע,औसत,Prosjek,Átlag,Rata-rata,Consumo medio,平均,평균연비,Vidutinis,Vidējais,Gemiddeld,Gjennomsnitt,Średnie zużycie,Média,Consumo médio,Mediu,Средний расход,Priemerná,Povprečna,Mesatare,Prosek potrošnja,Genomsnittlig,Ortalama,Середнє,Trung bình
10203_31,Autonomie,المدى,Автономност,续航里程,Dojezd,Rækkevidde,Reichweite,Αυτονομία,Range,Autonomía,Autonomía restante,Vahemik,محدوده,Toimintasäde,טווח,श्रेणी,Doseg,Hatótáv,Jangkauan,Autonomia,航続距離,주행가능거리,Diapazonas,Diapazons,Actieradius,Rekkevidde,Zasięg,Autonomia,Autonomia,Autonomie,Запас хода,Dojazd,Doseg,Autonomia,Autonomija,Räckvidd,Kalan yakıt,Діапазон,Phạm vi
10203_32,"Seuil autonomie
{#6} {#2}","حد المسافة
{#6} {#2}","Oставащ пробег
{#6} {#2}","距离临界值
{#6} {#2}","Práh dojezdu
{#6} {#2}","Rækkevidde
{#6} {#2}","Reichweite noch
{#6} {#2}","Όριο αυτονομίας
{#6} {#2}","Range Threshold
{#6} {#2}","Umbral autonomía
{#6} {#2}","Umbral Autonomía
{#6} {#2}","Distantsi künnis
{#6} {#2}","محدوده آستانه
{#6} {#2}","Ei arviota
{#6} {#2}","סף טעינה
{#6} {#2}","रंज की सीमा
{#6} {#2}","Prag autonomije
{#6} {#2}","Hatótáv
{#6} {#2}","Ambang rentang
{#6} {#2}","Soglia autonomia
{#6} {#2}","航続可能距離
{#6} {#2}","연료 소진전
{#6} {#2}","Liko važiuoti
{#6} {#2}","Nobrauk. ierob.
{#6} {#2}","Grens autonomie
{#6} {#2}","Rekkev. grense
{#6} {#2}","Zasięg maks.
{#6} {#2}","Autonomia máx
{#6} {#2}","Limiar autonomia
{#6} {#2}","Autonomie între
{#6} {#2}","порог регулир
{#6} {#2}","Dojazd
{#6} {#2}","Prag avtonomije
{#6} {#2}","Pragu i gamës
{#6} {#2}","Autonomija
{#6} {#2}","Räckvidd
{#6} {#2}","KalanYakıt sınır
{#6} {#2}","Залишок запасу
хода {#6} {#2}","Ngưỡng biên độ
{#6} {#2}"
10203_33,Moyenne GPL,معدل LPG,ср. разход LPG,平均油耗LPG,Průměr LPG,Gn.snitlig LPG,Durchschnitt LPG,Μέση LPG,Average LPG,Cons. medio GLP,Media GPL,Keskmine LPG,متوسط LPG,Keskiarvo LPG,LPG ממוצע,औसत LPG,Prosjek LPG,LPG átlag,Rata Rata LPG,Media GPL,LPG平均消費量,LPG 평균연비,Vidutinis LPG,Vidējais LPG,Gemiddeld LPG,Gjennomsnitt LPG,Średnie LPG,Média GLP,Média GPL,Mediu GPL,Ср. расход LPG,Priemer LPG,Povprečje LPG,LPG mesatare,Prosek TNG,Genomsnitt LPG,Ortalama LPG,Сер.витр. пропан,Khí đốt hóa lỏng
10203_34,Autonomie GPL,مدى LPG,обсег на LPG,可行驶里程LPG,Dojezd LPG,Rækkevidde LPG,Reichweite LPG,Αυτονομία LPG,Range LPG,Autonomía GLP,Autonomía GPL,Kogus LPG,برد LPG,Ajomatka LPG,טווח LPG,रेंज LPG,Doseg LPG,LPG hatótáv,Otonomi LPG,Autonomia GPL,LPG走行可能距離,LPG 주행가능거리,Diapazonas LPG,Diapazons LPG,Autonomie LPG,Rekkevidde LPG,Zasięg LPG,Autonomia GLP,Autonomia GPL,Autonomie GPL,Запас хода LPG,Dojazd LPG,Doseg LPG,LPG autonome,Autonomija TNG,Räckvidd LPG,Kalan LPG,Зап.ходу з газом,Phạm vi LPG
10203_35,Distance GPL,مسافه LPG,пробег на LPG,已行驶距离LPG,Vzdálenost LPG,Strækning LPG,Distanz LPG,Απόσταση LPG,Distance LPG,Distancia GLP,Distancia GPL,Vahemaa LPG,مسافت LPG,Matka LPG,מרחק LPG,दूरी LPG,Udaljenost LPG,LPG megtett táv,Jarak Tempuh LPG,Distanza GPL,LPGリセット後の走行距離,LPG 주행거리,Atstumas LPG,Attālums LPG,Afstand LPG,Distanse LPG,Dystans LPG,Distância GLP,Distância GPL,Distanță GPL,Пройдено на LPG,Vzdialenosť LPG,Razdalja LPG,LPG distancë,Rastojanje TNG,Körd sträcka LPG,Gidilen yol LPG,Відст. з пропан,Khoảng cách LPG
10203_36,Autonomie GNC,مدى CNG,обсег на CNG,可行驶里程CNG,Dojezd CNG,Rækkevidde CNG,Reichweite CNG,Αυτονομία CNG,Range CNG,Autonomía GNC,Autonomía GNC,Kogus CNG,برد CNG,Ajomatka CNG,טווח CNG,रेंज CNG,Doseg CNG,CNG hatótáv,Otonomi GNC,Autonomia GNC,CNG走行可能距離,CNG 주행가능거리,Diapazonas CNG,Diapazons CNG,Autonomie CNG,Rekkevidde CNG,Zasięg CNG,Autonomia GNV,Autonomia GNC,Autonomie GNC,Запас хода CNG,Dojazd CNG,Doseg CNG,CNG autonome,Autonomija KPG,Räckvidd CNG,Kalan CNG,Зап.ходу з метан,Phạm vi CNG
10203_37,Distance GNC,مسافه CNG,пробег на CNG,已行驶距离CNG,Vzdálenost CNG,Strækning CNG,Distanz CNG,Απόσταση CNG,Distance CNG,Distancia GNC,Distancia GNC,Vahemaa CNG,مسافت CNG,Matka CNG,מרחק CNG,दूरी CNG,Udaljenost CNG,CNG megtett táv,Jarak Tempuh CNG,Distanza GNC,CNGリセット後の走行距離,CNG 주행거리,Atstumas CNG,Attālums CNG,Afstand CNG,Distanse CNG,Dystans CNG,Distância GNV,Distância GNC,Distanță GNC,Пройдено на CNG,Vzdialenosť CNG,Razdalja CNG,CNG distancë,Rastojanje KPG,Körd sträcka CNG,Gidilen yol CNG,Відстань з метан,Khoảng cách CNG
10203_38,Consommation,الإستهلاك,консумация,消耗,Spotřeba,Forbrug,Verbrauch,Κατανάλωση,Consumption,Consumo,Consumo,Tarbimine,مصرف سوخت,Kulutus,צריכה,खपत,Potrošnja,Fogyasztás,Konsumsi,Consumo,燃料消費量,주행 연비,Sąnaudos,Patēriņš,Verbruik,Forbruk,Zużycie,Consumo,Consumo,Consum,Расход,Spotreba,Poraba,Konsumi,Potrošnja,Förbrukning,Tüketim,Витрата палива,Mức tiêu thụ
10203_39,Trajet,رحلة,"пътуване
<<>>",行驶里程,Jízda,Tur,Fahrt,Διαδρομή,Journey,Distancia,Trayecto,Teekond,مسافت طی شده,Matka,נסיעה,यात्रा,Vožnja,Útszakasz,Perjalanan,Percorso,トリップ,트립 기록,Kelionė,Ceļojums,Rit,Kjøretur,Przejazd,Percurso,Trajeto,Călătorie,Дистанция,Jazda,Vožnja,Udhëtimi,Vožnja,Sträcka,Yol bilgisi,Відстань,Hành trình
10203_4,"Instantanée
{#7}","الإستهلاك الحالي
{#7}","Текущ разход
{#7}","瞬时油耗
{#7}","Okamžitá
{#7}","Aktuel
{#7}","Momentanverbr.
{#7}","Στιγμιαία
{#7}","Current
{#7}","Instantáneo
{#7}","Consumo Inst.
{#7}","Praegune
{#7}","فعلی
{#7}","Hetkellinen
{#7}","נוכחי
{#7}","वर्तमान
{#7}","Trenutno
{#7}","Pillanatnyi
{#7}","Arus
{#7}","Istantaneo
{#7}","現在
{#7}","순간연비
{#7}","Esamas
{#7}","Strāva
{#7}","Actueel verbruik
{#7}","Nåværende
{#7}","Aktualne zużycie
{#7}","Consumo instant.
{#7}","Consumo instant.
{#7}","Instant
{#7}","Мгновен. расход
{#7}","Okamžitá
{#7}","Trenutna
{#7}","Aktuale
{#7}","Trenut.potrošnja
{#7}","Nuvarande
{#7}","Anlık
{#7}","Поточне
{#7}","Hiện tại
{#7}"
